"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
3.549864600E-2,-∞
1.504890100E-1,-∞
2.598543230E-1,-∞
3.766732290E-1,-1.275803916E1
4.909096350E-1,-1.193134889E1
6.042460410E-1,-1.084928060E1
7.175456770E-1,-1.086999481E1
8.382746870E-1,-1.095782348E1
9.496842700E-1,-1.182283594E1
1.062439270E0,-1.186454181E1
1.173510885E0,-1.146458607E1
1.291709635E0,-1.030223039E1
1.412089427E0,-9.932011555E0
1.523071302E0,-1.141622900E1
1.637911874E0,-1.067028821E1
1.758215156E0,-1.264548551E1
1.867333176E0,-1.169530411E1
1.974795676E0,-1.053088013E1
2.086237187E0,-1.091285930E1
2.194448437E0,-1.194333770E1
2.303400207E0,-1.083806799E1
2.411903957E0,-1.275994403E1
2.522154374E0,-1.319207572E1
2.630525051E0,-1.266476966E1
2.738423176E0,-1.482760894E1
2.846573541E0,-1.416207960E1
2.955899270E0,-1.398183733E1
3.064981718E0,-1.365246376E1
3.172893384E0,-1.337711417E1
3.285256249E0,-1.437745113E1
3.401720728E0,-1.431743295E1
3.511843384E0,-1.440767653E1
3.620367655E0,-1.451276004E1
3.727691405E0,-1.533955428E1
3.838344738E0,-1.585191049E1
3.947557082E0,-1.566487210E1
4.057561561E0,-1.503255079E1
4.168084738E0,-1.582710086E1
4.275707498E0,-1.535890257E1
4.383946561E0,-1.506546486E1
4.492425623E0,-1.515162205E1
4.599931925E0,-1.517869738E1
4.707182342E0,-1.517495033E1
4.813245884E0,-1.547461426E1
4.930298644E0,-1.571850098E1
5.038079842E0,-1.590568293E1
5.145883644E0,-1.518367446E1
5.254564946E0,-1.522606398E1
5.367142550E0,-1.490233746E1
5.476297394E0,-1.561866058E1
5.583936300E0,-1.532220007E1
5.690998175E0,-1.588661568E1
5.798577133E0,-1.575785723E1
5.906209008E0,-1.574500325E1
6.015295519E0,-1.528984929E1
6.123389164E0,-1.437971130E1
6.231386873E0,-1.407964511E1
6.341269529E0,-1.341337876E1
6.449049008E0,-1.307642590E1
6.556399060E0,-1.187832881E1
6.664060727E0,-1.238688804E1
6.771351247E0,-1.423036812E1
6.878825727E0,-1.587621502E1
6.986072237E0,-1.501848397E1
7.093617914E0,-1.612274214E1
7.201538018E0,-1.503760857E1
7.310297966E0,-1.386881296E1
7.417743487E0,-1.345823660E1
7.524936299E0,-1.337949055E1
7.633470570E0,-1.405133154E1
7.740622497E0,-1.413364397E1
7.847976195E0,-1.503111168E1
7.955139632E0,-1.517426346E1
8.062593487E0,-1.507147671E1
8.169649476E0,-1.499795071E1
8.277790882E0,-1.457393306E1
8.385011038E0,-1.448779647E1
8.492319163E0,-1.513655108E1
8.600093070E0,-1.576734503E1
